City,Latitude,Longitude,Hotels,Places_to_visit
Fatehpur Sikri,,,,
Farsaheya,,,,
Fatehgarh,,,,
Fatehpur,,,,
Fazilka,,,,
Ferozpur Jhirka,,,,
Firozabad,,,,
Firozpur,,,,
Gadag,,,,
Gadwal,,,,
Gajner,,,,
Gandhidham,,,,
Ganagapur,,,,
Gandhinagar,,,,
Galajwari,,,,
Gandikota,,,,
Ganeshgudi,,,,
Gangolihat,,,,
Gangotri,,,,
Sagar Island,,,,
Gangtok,,,,
Tadong,,,,
Ganjam,,,,
Ganpatipule,,,,
Malgund,,,,
Garbeta,,,,
Garhwal,,,,
Garh Siliyara,,,,
Garjiya,,,,
Gaya,,,,
Garoi,,,,
Garhwa,,,,
Geyzing,,,,
Ghatgan,,,,
Ghatshila,,,,
Ghanerao,,,,
Ghagra,,,,
Ghaziabad,,,,
Gingee,,,,
Ghazipur,,,,
Gholu Majra,,,,
Sasan Gir,,,,
Gir National Park,,,,
Giridih,,,,
Gobichettipalayam,,,,
Gokak,,,,
Godda,,,,
Gokarna,,,,
Golaghat,,,,
Gondal,,,,
Gondia,,,,
Gopalpur On Sea,,,,
Gopalpur,,,,
Gopeshwar,,,,
Gorakhpur,,,,
Gorumara National Park,,,,
Gorubathan,,,,
Gosaba,,,,
Gotagodi,,,,
Govardhan,,,,
Greater Noida,,,,
Great Nicobar Island,,,,
Gudalur,,,,
Gubbi,,,,
Guhagar,,,,
Gudur,,,,
Gulbarga,,,,
Gulmarg,,,,
Guna,,,,
Guntur,,,,
Gumla,,,,
Guptkashi,,,,
Gurdaspur,,,,
Gurugram (Gurgaon),,,,
New Delhi,,,,
Guruvayur,,,,
Guwahati,,,,
Gwalior,,,,
Gwaldam,,,,
Gyaraspur,,,,
Haddo,,,,
Haflong,,,,
Haldia,,,,
Habra,,,,
Hajipur,,,,
Hajo,,,,
Haldwani,,,,
Hamirpur,,,,
Hampi,,,,
Halol,,,,
Hanle,,,,
Hansi,,,,
Hanumangarh,,,,
Haorang Sabal,,,,
Hanumanthapuram,,,,
Haridwar,,,,
Hardoi,,,,
Shivpuri,,,,
Harihar,,,,
Harigar,,,,
Harnai,,,,
Haroa,,,,
Haripurdhar,,,,
Hassan,,,,
Hastinapur,,,,
Hatgad,,,,
Havelock Island,,,,
Hatkoti,,,,
Haveri,,,,
Hazaribagh,,,,
Hazira,,,,
Hemis,,,,
Himmatnagar,,,,
Hiala,,,,
Hingoli,,,,
Hingolgadh Village,,,,
Hinjewadi,,,,
Hisar,,,,
Hogenakkal,,,,
Honnavar,,,,
Hooghly,,,,
Horanadu,,,,
Hoovina Hadagalli Taluk,,,,
Hosadurga,,,,
Hoshangabad,,,,
Hoshiarpur,,,,
Hospet,,,,
Hosur,,,,
Howrah,,,,
Hubli-Dharwad,,,,
Hunder,,,,
Hundur,,,,
Hunsur,,,,
Huzurnagar,,,,
Hyderabad,,,,
Idagunji,,,,
Kumily,,,,
Idar,,,,
Anachal,,,,
Idukki,,,,
Munnar,,,,
Nedumkandam,,,,
Igatpuri,,,,
Imphal,,,,
Indore,,,,
Indapur,,,,
Itanagar,,,,
Injole,,,,
Irikkur,,,,
Jabalpur,,,,
Itarsi,,,,
Jadupur,,,,
Jagdalpur,,,,
Jagadhri,,,,
Jageshwar,,,,
Jaggaiahpet,,,,
Jaipur,,,,
Jaigaon,,,,
Jagraon,,,,
Amer,,,,
Jaisalmer,,,,
Jajpur,,,,
Jalandhar,,,,
Jakrem,,,,
Jalgaon,,,,
Jalasangvi,,,,
Jalna,,,,
Jalore,,,,
Jalpaiguri,,,,
Jambughoda,,,,
Jambusar,,,,
Jammu City,,,,
Jamnagar,,,,
Jamshedpur,,,,
Janakpuri,,,,
Jamui,,,,
Janjgir,,,,
Jamtara,,,,
Jashpur,,,,
Jariput,,,,
Jaunpur,,,,
Jawhar,,,,
Jawahar,,,,
Jejuri,,,,
Jetpur,,,,
Jeypore,,,,
Jhajjar,,,,
Jhalawar,,,,
Jhansi,,,,
Jhalrapatan,,,,
Jharsuguda,,,,
Jhargram,,,,
Jhunjhunu,,,,
Jim Corbett National Park,,,,
Jibhi,,,,
Ramnagar,,,,
Jodhpur,,,,
Joginder Nagar,,,,
Jolaibari,,,,
Jorhat,,,,
Jowai,,,,
Junagadh,,,,
Jubbal,,,,
Junnar,,,,
Kadapa,,,,
Kadi,,,,
Kadayam,,,,
Kadiri,,,,
Kakinada,,,,
Kailashahar,,,,
Kaikaluru,,,,
Kaipadar,,,,
Kakkabe,,,,
Kaladhungi,,,,
Kalady,,,,
Kalasa,,,,
Kaleshwaram,,,,
Kalimpong,,,,
Kallar,,,,
Kalka,,,,
Kalna,,,,
Kalpa,,,,
Kalpetta,,,,
Kalsi,,,,
Kalyan,,,,
Kalyani,,,,
Kamargaon,,,,
Kamarpukur,,,,
Kammasandra,,,,
Kamavarapukota,,,,
Kamshet,,,,
Kamod,,,,
Kanakapura,,,,
Kanadukathan,,,,
Kanchipuram,,,,
Chail,,,,
Kanger Valley National Park,,,,
Kangar Dharyar,,,,
Kandla,,,,
Kanha National Park,,,,
Kanhangad,,,,
Kanipakam,,,,
Kanjirappally,,,,
Kannan Devan Hills,,,,
Kanker,,,,
Kannad,,,,
Kannauj,,,,
Kannur,,,,
Thottada,,,,
Kanoi,,,,
Kanpur,,,,
Kanyakumari,,,,
Kanthalloor,,,,
Kantilo,,,,
Kapurthala,,,,
Karad,,,,
Karaikal,,,,
Karaikudi,,,,
Karauli,,,,
Kargil,,,,
Lamayuru,,,,
Karimnagar,,,,
Karjat Town,,,,
Neral,,,,
Karkala,,,,
Karnala,,,,
Karnal,,,,
Karsha,,,,
Karsog,,,,
Karur,,,,
Karuvarakundu,,,,
Karwar,,,,
Kasaragod,,,,
Dharampur,,,,
Kasarkod,,,,
Kasauli,,,,
Kashid,,,,
Kashipur,,,,
Kasol,,,,
Kas,,,,
Kathua,,,,
Katni,,,,
Katra,,,,
Katoya,,,,
Kausani,,,,
Kattoor,,,,
Kaushambi,,,,
Kavaratti Island,,,,
Kawardha,,,,
