City,Latitude,Longitude,Hotels,Places_to_visit,hotel_process,new_file_paths,hotel_final
Bahadurgarh,28.6914,76.9314,hotels/113.json,,113_short.json,hotels/preprocessed_113_short.json,hotels/preprocessed_113_short.json
Baijnath,32.0521,76.6493,hotels/114.json,,114_short.json,hotels/preprocessed_114_short.json,hotels/preprocessed_114_short.json
Bajarwadi,18.0945,73.8316,hotels/115.json,,115_short.json,hotels/preprocessed_115_short.json,hotels/preprocessed_115_short.json
Keori,32.0559,76.7019,hotels/116.json,,116_short.json,hotels/preprocessed_116_short.json,hotels/preprocessed_116_short.json
Bakkhali,21.5631,88.2595,hotels/117.json,,117_short.json,hotels/preprocessed_117_short.json,hotels/preprocessed_117_short.json
Bajaura,31.8465,77.1605,hotels/118.json,,118_short.json,hotels/preprocessed_118_short.json,hotels/preprocessed_118_short.json
Balasinor,22.9532,73.3326,hotels/119.json,,119_short.json,hotels/preprocessed_119_short.json,hotels/preprocessed_119_short.json
Balangir,20.7011,83.4846,hotels/120.json,,120_short.json,hotels/preprocessed_120_short.json,hotels/preprocessed_120_short.json
Balasore,21.4934,86.9135,hotels/121.json,,121_short.json,hotels/preprocessed_121_short.json,hotels/preprocessed_121_short.json
Balgudar,25.1993,86.0759,hotels/122.json,,122_short.json,hotels/preprocessed_122_short.json,hotels/preprocessed_122_short.json
Balicha,24.3443,74.2326,hotels/123.json,,123_short.json,hotels/preprocessed_123_short.json,hotels/preprocessed_123_short.json
Balurghat,25.2373,88.7831,hotels/124.json,,124_short.json,hotels/preprocessed_124_short.json,hotels/preprocessed_124_short.json
Balotra,25.8302,72.2456,hotels/125.json,,125_short.json,hotels/preprocessed_125_short.json,hotels/preprocessed_125_short.json
Banavasi,14.5333,75.0158,hotels/126.json,,126_short.json,hotels/preprocessed_126_short.json,hotels/preprocessed_126_short.json
Bandhavgarh National Park,23.688704,81.028676,hotels/127.json,,127_short.json,hotels/preprocessed_127_short.json,hotels/preprocessed_127_short.json
Tala,18.4388,73.1261,hotels/128.json,,128_short.json,hotels/preprocessed_128_short.json,hotels/preprocessed_128_short.json
Bandipur National Park,11.7788,76.4647,hotels/129.json,,129_short.json,hotels/preprocessed_129_short.json,hotels/preprocessed_129_short.json
